iter	Passed	Remaining
0	51	50979
1	52	26419
2	53	17894
3	55	13695
4	55	11104
5	56	9378
6	57	8147
7	58	7226
8	58	6495
9	59	5909
10	60	5431
11	61	5034
12	61	4694
13	62	4399
14	63	4140
15	63	3924
16	64	3733
17	65	3560
18	65	3405
19	67	3330
20	68	3202
21	69	3092
22	70	2998
23	71	2907
24	72	2826
25	73	2755
26	74	2685
27	75	2614
28	76	2550
29	76	2483
30	77	2424
31	78	2374
32	79	2324
33	80	2278
34	81	2234
35	81	2193
36	82	2153
37	83	2113
38	84	2077
39	85	2041
40	85	2007
41	86	1974
42	87	1941
43	87	1910
44	88	1881
45	89	1853
46	90	1826
47	90	1803
48	91	1777
49	92	1751
50	92	1727
51	93	1703
52	94	1680
53	94	1658
54	95	1637
55	95	1616
56	96	1596
57	97	1576
58	97	1555
59	98	1536
60	98	1517
61	99	1498
62	99	1479
63	99	1461
64	100	1443
65	100	1426
66	101	1409
67	101	1392
68	101	1375
69	102	1359
70	102	1344
71	103	1329
72	103	1315
73	103	1300
74	104	1286
75	104	1272
76	104	1258
77	105	1244
78	105	1231
79	105	1218
80	106	1205
81	106	1192
82	106	1178
83	106	1166
84	107	1154
85	107	1143
86	107	1131
87	108	1120
88	108	1109
89	108	1098
90	108	1087
91	109	1077
92	109	1067
93	109	1057
94	109	1047
95	110	1038
96	110	1029
97	110	1021
98	111	1012
99	111	1002
100	111	993
101	111	985
102	112	976
103	112	968
104	112	959
105	112	951
106	113	943
107	113	935
108	113	928
109	113	920
110	114	913
111	114	905
112	114	898
113	114	891
114	114	884
115	115	877
116	115	870
117	115	864
118	115	857
119	116	851
120	116	845
121	116	838
122	116	832
123	117	826
124	117	821
125	117	815
126	117	809
127	118	804
128	118	799
129	118	794
130	118	788
131	119	783
132	119	778
133	119	773
134	119	768
135	120	763
136	120	757
137	120	753
138	120	748
139	121	743
140	121	738
141	121	733
142	121	728
143	121	724
144	122	719
145	122	715
146	122	710
147	122	706
148	123	702
149	123	698
150	123	694
151	123	690
152	124	686
153	124	683
154	124	680
155	125	676
156	125	672
157	125	669
158	125	665
159	126	661
160	126	657
161	126	653
162	126	650
163	126	646
164	127	643
165	127	639
166	127	636
167	128	634
168	128	631
169	128	628
170	128	624
171	129	621
172	129	619
173	129	616
174	130	614
175	130	611
176	130	608
177	131	605
178	131	602
179	131	599
180	131	596
181	132	593
182	132	590
183	132	587
184	132	585
185	133	582
186	133	579
187	133	576
188	133	574
189	134	571
190	134	568
191	134	565
192	134	563
193	134	560
194	135	558
195	135	555
196	135	552
197	135	550
198	136	547
199	136	545
200	136	542
201	136	540
202	137	538
203	137	535
204	137	533
205	137	531
206	138	528
207	138	526
208	138	524
209	138	522
210	139	519
211	139	517
212	139	515
213	139	513
214	140	511
215	140	509
216	140	507
217	140	505
218	141	503
219	141	501
220	141	499
221	142	497
222	142	495
223	142	493
224	142	492
225	143	490
226	143	489
227	143	487
228	144	485
229	144	483
230	144	481
231	145	480
232	145	478
233	145	476
234	145	474
235	146	473
236	146	471
237	146	469
238	146	467
239	147	465
240	147	464
241	147	462
242	147	460
243	148	459
244	148	457
245	148	455
246	148	454
247	149	452
248	149	450
249	149	449
250	149	447
251	150	446
252	150	444
253	150	443
254	151	441
255	151	440
256	151	438
257	151	437
258	152	435
259	152	433
260	152	432
261	152	430
262	153	429
263	153	427
264	153	426
265	153	424
266	154	423
267	154	421
268	154	420
269	154	419
270	155	417
271	155	416
272	155	414
273	156	413
274	156	412
275	156	411
276	157	409
277	157	408
278	157	407
279	158	406
280	158	405
281	158	403
282	158	402
283	159	401
284	159	400
285	159	398
286	159	397
287	160	396
288	160	394
289	160	393
290	161	392
291	161	391
292	161	389
293	161	388
294	162	387
295	162	386
296	162	385
297	163	384
298	163	382
299	163	381
300	163	380
301	164	379
302	164	378
303	164	377
304	165	376
305	165	375
306	165	373
307	165	372
308	166	371
309	166	370
310	166	369
311	167	368
312	167	367
313	167	366
314	167	365
315	168	363
316	168	362
317	168	361
318	168	360
319	169	359
320	169	358
321	169	357
322	170	356
323	170	355
324	170	355
325	171	354
326	171	353
327	172	352
328	172	351
329	172	350
330	172	349
331	173	348
332	173	347
333	173	346
334	174	345
335	174	344
336	174	343
337	175	342
338	175	341
339	175	340
340	176	340
341	176	340
342	177	339
343	177	338
344	177	337
345	178	336
346	178	335
347	178	334
348	178	333
349	179	332
350	179	332
351	179	331
352	180	330
353	180	329
354	180	328
355	181	327
356	181	326
357	181	325
358	181	324
359	182	323
360	182	322
361	182	322
362	183	321
363	183	320
364	183	319
365	184	318
366	184	318
367	184	317
368	185	316
369	185	315
370	185	314
371	186	314
372	186	313
373	186	312
374	187	311
375	187	311
376	187	310
377	188	309
378	188	308
379	188	307
380	188	306
381	189	306
382	189	305
383	190	305
384	190	304
385	190	303
386	191	302
387	191	302
388	191	301
389	192	300
390	192	299
391	192	298
392	192	298
393	193	297
394	193	296
395	193	295
396	194	294
397	194	294
398	194	293
399	194	292
400	195	291
401	195	290
402	195	290
403	196	289
404	196	288
405	196	287
406	197	287
407	197	286
408	197	285
409	197	284
410	198	284
411	198	283
412	198	282
413	199	281
414	199	280
415	199	280
416	199	279
417	200	278
418	200	277
419	200	277
420	201	276
421	201	275
422	201	275
423	201	274
424	202	273
425	202	272
426	202	272
427	203	271
428	203	270
429	203	270
430	204	269
431	204	268
432	204	268
433	205	267
434	205	266
435	205	266
436	206	265
437	206	264
438	206	264
439	206	263
440	207	262
441	207	261
442	207	261
443	208	260
444	208	259
445	208	259
446	209	258
447	209	258
448	209	257
449	210	256
450	210	256
451	210	255
452	211	254
453	211	254
454	211	253
455	212	252
456	212	252
457	212	251
458	212	250
459	213	250
460	213	249
461	213	249
462	214	248
463	214	247
464	214	247
465	215	246
466	215	245
467	215	245
468	216	244
469	216	244
470	216	243
471	217	242
472	217	242
473	217	241
474	218	241
475	218	240
476	219	240
477	219	239
478	219	238
479	219	238
480	220	237
481	220	237
482	220	236
483	221	236
484	221	235
485	222	234
486	222	234
487	222	233
488	223	233
489	223	232
490	224	232
491	224	231
492	224	231
493	225	230
494	225	229
495	225	229
496	226	228
497	226	228
498	226	227
499	226	226
500	227	226
501	227	225
502	227	225
503	228	224
504	228	223
505	228	223
506	228	222
507	229	222
508	229	221
509	229	220
510	230	220
511	230	219
512	231	219
513	231	218
514	231	218
515	232	217
516	232	217
517	232	216
518	232	215
519	233	215
520	233	214
521	233	214
522	234	213
523	234	212
524	234	212
525	234	211
526	235	211
527	235	210
528	235	210
529	236	209
530	236	208
531	236	208
532	237	207
533	237	207
534	237	206
535	238	206
536	238	205
537	238	205
538	239	204
539	239	203
540	239	203
541	239	202
542	240	202
543	240	201
544	240	201
545	241	200
546	241	199
547	241	199
548	242	198
549	242	198
550	242	197
551	242	197
552	243	196
553	243	196
554	243	195
555	244	195
556	244	194
557	244	193
558	245	193
559	245	192
560	245	192
561	246	191
562	246	191
563	246	190
564	246	190
565	247	189
566	247	189
567	247	188
568	248	187
569	248	187
570	248	186
571	248	186
572	249	185
573	249	185
574	249	184
575	250	184
576	250	183
577	250	183
578	251	182
579	251	182
580	251	181
581	252	181
582	252	180
583	252	180
584	252	179
585	253	178
586	253	178
587	253	177
588	254	177
589	254	176
590	254	176
591	254	175
592	255	175
593	255	174
594	255	174
595	256	173
596	256	173
597	256	172
598	257	172
599	257	171
600	257	171
601	258	170
602	258	170
603	258	169
604	258	169
605	259	168
606	259	167
607	259	167
608	259	166
609	260	166
610	260	165
611	260	165
612	261	164
613	261	164
614	261	163
615	261	163
616	262	162
617	262	162
618	262	161
619	263	161
620	263	160
621	263	160
622	264	159
623	264	159
624	264	158
625	265	158
626	265	157
627	265	157
628	266	156
629	266	156
630	266	155
631	266	155
632	267	154
633	267	154
634	267	153
635	268	153
636	268	153
637	268	152
638	269	152
639	269	151
640	270	151
641	270	150
642	270	150
643	271	149
644	271	149
645	271	148
646	272	148
647	272	148
648	272	147
649	273	147
650	273	146
651	274	146
652	274	145
653	274	145
654	275	144
655	275	144
656	275	144
657	276	143
658	276	143
659	276	142
660	277	142
661	277	141
662	277	141
663	278	140
664	278	140
665	278	139
666	279	139
667	279	138
668	279	138
669	280	138
670	280	137
671	280	137
672	281	136
673	281	136
674	281	135
675	282	135
676	282	134
677	282	134
678	283	133
679	283	133
680	284	133
681	284	132
682	285	132
683	285	131
684	285	131
685	286	131
686	286	130
687	286	130
688	287	129
689	287	129
690	287	128
691	288	128
692	288	127
693	288	127
694	289	126
695	289	126
696	289	125
697	290	125
698	290	125
699	290	124
700	291	124
701	291	123
702	291	123
703	292	122
704	292	122
705	292	121
706	293	121
707	293	121
708	293	120
709	294	120
710	294	119
711	294	119
712	294	118
713	295	118
714	295	117
715	295	117
716	296	116
717	296	116
718	296	116
719	297	115
720	297	115
721	297	114
722	298	114
723	298	113
724	298	113
725	299	112
726	299	112
727	299	112
728	300	111
729	300	111
730	300	110
731	301	110
732	301	109
733	301	109
734	301	108
735	302	108
736	302	108
737	303	107
738	303	107
739	304	106
740	304	106
741	304	105
742	304	105
743	305	105
744	305	104
745	305	104
746	306	103
747	306	103
748	306	102
749	306	102
750	307	101
751	307	101
752	307	101
753	308	100
754	308	100
755	308	99
756	309	99
757	309	98
758	310	98
759	310	98
760	310	97
761	311	97
762	311	96
763	312	96
764	312	96
765	312	95
766	313	95
767	313	94
768	313	94
769	314	93
770	314	93
771	315	93
772	315	92
773	315	92
774	316	91
775	316	91
776	317	91
777	318	90
778	318	90
779	318	89
780	319	89
781	319	89
782	319	88
783	319	88
784	320	87
785	320	87
786	320	86
787	321	86
788	321	86
789	322	85
790	322	85
791	322	84
792	322	84
793	323	83
794	323	83
795	323	83
796	324	82
797	324	82
798	324	81
799	325	81
800	325	80
801	325	80
802	326	80
803	326	79
804	326	79
805	327	78
806	327	78
807	328	77
808	328	77
809	328	77
810	330	77
811	330	76
812	331	76
813	331	75
814	332	75
815	332	75
816	333	74
817	333	74
818	334	73
819	334	73
820	335	73
821	335	72
822	335	72
823	336	71
824	336	71
825	337	71
826	337	70
827	338	70
828	338	69
829	338	69
830	339	68
831	339	68
832	339	68
833	340	67
834	340	67
835	341	66
836	341	66
837	342	66
838	343	65
839	343	65
840	343	64
841	344	64
842	344	64
843	344	63
844	345	63
845	346	63
846	346	62
847	346	62
848	347	61
849	347	61
850	348	60
851	348	60
852	349	60
853	349	59
854	350	59
855	350	59
856	351	58
857	351	58
858	352	57
859	352	57
860	352	56
861	353	56
862	353	56
863	353	55
864	354	55
865	354	54
866	355	54
867	355	54
868	356	53
869	356	53
870	357	52
871	357	52
872	357	52
873	358	51
874	358	51
875	358	50
876	359	50
877	360	50
878	360	49
879	360	49
880	361	48
881	361	48
882	362	47
883	362	47
884	363	47
885	363	46
886	363	46
887	364	45
888	364	45
889	364	45
890	365	44
891	365	44
892	365	43
893	366	43
894	366	42
895	366	42
896	367	42
897	367	41
898	367	41
899	368	40
900	368	40
901	368	40
902	369	39
903	369	39
904	369	38
905	370	38
906	370	37
907	370	37
908	371	37
909	371	36
910	372	36
911	372	35
912	372	35
913	373	35
914	373	34
915	374	34
916	374	33
917	374	33
918	374	33
919	375	32
920	375	32
921	375	31
922	376	31
923	376	30
924	376	30
925	377	30
926	377	29
927	377	29
928	378	28
929	378	28
930	378	28
931	378	27
932	379	27
933	379	26
934	379	26
935	380	25
936	380	25
937	380	25
938	381	24
939	381	24
940	381	23
941	382	23
942	382	23
943	382	22
944	383	22
945	383	21
946	383	21
947	383	21
948	384	20
949	384	20
950	384	19
951	385	19
952	385	19
953	385	18
954	386	18
955	386	17
956	387	17
957	387	16
958	388	16
959	388	16
960	389	15
961	389	15
962	389	14
963	390	14
964	390	14
965	391	13
966	391	13
967	391	12
968	392	12
969	392	12
970	392	11
971	393	11
972	393	10
973	393	10
974	394	10
975	394	9
976	394	9
977	395	8
978	395	8
979	395	8
980	396	7
981	396	7
982	396	6
983	396	6
984	397	6
985	397	5
986	397	5
987	398	4
988	398	4
989	398	4
990	399	3
991	399	3
992	399	2
993	399	2
994	400	2
995	400	1
996	400	1
997	401	0
998	401	0
999	402	0
